avg_temp,year
14.12,1849
13.80,1850
14.39,1851
13.81,1852
14.40,1853
13.98,1854
14.20,1855
14.10,1856
14.78,1857
14.19,1858
13.71,1859
13.81,1860
14.88,1861
14.43,1862
14.43,1863
15.18,1864
14.32,1865
14.67,1866
14.46,1867
14.25,1868
14.57,1869
14.19,1870
14.34,1871
14.63,1872
14.46,1873
14.09,1874
14.76,1875
14.44,1876
15.03,1877
14.37,1878
14.20,1879
13.22,1880
14.39,1881
13.58,1882
13.93,1883
14.05,1884
15.05,1885
14.58,1886
14.38,1887
14.70,1888
14.81,1889
14.05,1890
14.46,1891
14.05,1892
13.40,1893
13.80,1894
13.95,1895
14.22,1896
13.81,1897
13.77,1898
14.04,1899
14.64,1900
14.34,1901
14.07,1902
14.12,1903
14.50,1904
14.39,1905
14.81,1906
14.34,1907
14.01,1908
14.05,1909
14.17,1910
13.46,1911
13.95,1912
14.38,1913
14.33,1914
14.30,1915
13.61,1916
14.06,1917
14.14,1918
13.60,1919
13.72,1920
14.24,1921
13.61,1922
14.13,1923
14.10,1924
14.34,1925
15.14,1926
14.24,1927
14.32,1928
14.25,1929
14.25,1930
14.93,1931
14.24,1932
13.93,1933
15.31,1934
14.12,1935
15.13,1936
14.36,1937
14.35,1938
14.81,1939
15.12,1940
14.98,1941
14.20,1942
14.72,1943
14.17,1944
14.41,1945
13.83,1946
14.51,1947
13.65,1948
13.90,1949
14.66,1950
14.06,1951
14.11,1952
14.42,1953
14.18,1954
13.74,1955
14.08,1956
14.59,1957
15.41,1958
15.39,1959
14.59,1960
14.65,1961
14.22,1962
14.19,1963
14.24,1964
14.14,1965
14.74,1966
14.50,1967
14.66,1968
14.51,1969
14.76,1970
13.89,1971
14.25,1972
14.58,1973
14.41,1974
13.82,1975
14.72,1976
14.63,1977
14.96,1978
14.99,1979
14.74,1980
15.22,1981
14.00,1982
15.07,1983
14.97,1984
14.23,1985
15.00,1986
14.95,1987
15.08,1988
14.45,1989
14.73,1990
14.50,1991
15.53,1992
14.97,1993
14.21,1994
15.31,1995
15.56,1996
15.75,1997
14.38,1998
14.41,1999
15.02,2000
15.25,2001
15.00,2002
15.43,2003
15.37,2004
15.17,2005
15.02,2006
14.94,2007
15.05,2008
15.02,2009
14.67,2010
14.50,2011
15.05,2012
16.23,2013
